iter	Logloss
0	0.6868171609
1	0.6814828256
2	0.6762828233
3	0.6716544687
4	0.6666499059
5	0.6615384791
6	0.6565834385
7	0.6518885479
8	0.6470414746
9	0.6427281067
10	0.638465676
11	0.6340196509
12	0.6299295287
13	0.626298531
14	0.6228252409
15	0.6184590426
16	0.6147725889
17	0.6113814066
18	0.6078679564
19	0.6044176203
20	0.6007147731
21	0.5974812176
22	0.5943143979
23	0.5914585946
24	0.5881751975
25	0.5851691724
26	0.5827215364
27	0.5804486531
28	0.5777469076
29	0.5753475077
30	0.5728479357
31	0.5702571051
32	0.5680661297
33	0.5656509242
34	0.5635567779
35	0.5614978178
36	0.5594582744
37	0.5573410726
38	0.5551812997
39	0.5529897382
40	0.550786716
41	0.5487529194
42	0.5468716304
43	0.5447047823
44	0.5428911196
45	0.5410572096
46	0.5391545364
47	0.5373598536
48	0.5356206551
49	0.5336753721
50	0.5323006815
51	0.5308198184
52	0.5295365162
53	0.5279073073
54	0.5261934917
55	0.5247103186
56	0.523613424
57	0.5221287118
58	0.5209360398
59	0.5191501115
60	0.5177102303
61	0.5161791771
62	0.5147025257
63	0.5133565942
64	0.5120913135
65	0.5109460455
66	0.5095987768
67	0.508276409
68	0.5070458899
69	0.5060102355
70	0.5044408917
71	0.5032272252
72	0.5018771626
73	0.5005744945
74	0.4995719075
75	0.4986395256
76	0.4975025055
77	0.496272444
78	0.4950709778
79	0.4939225003
80	0.4927841957
81	0.4918019852
82	0.4906474514
83	0.4897101026
84	0.4887790555
85	0.4875195038
86	0.4865711482
87	0.4855528142
88	0.4846758791
89	0.4837680945
90	0.4825748563
91	0.4818257651
92	0.4808432341
93	0.479799354
94	0.4788314546
95	0.4778972035
96	0.4770634633
97	0.4762707979
98	0.4754876039
99	0.4746842416
100	0.4737998623
101	0.4729640682
102	0.4723017935
103	0.4714139133
104	0.4705488442
105	0.4697028
106	0.4689257229
107	0.4679570113
108	0.4670533264
109	0.4662299307
110	0.4652832047
111	0.4645059187
112	0.4636057587
113	0.4627631157
114	0.4620561059
115	0.4611322596
116	0.4603498771
117	0.4596520154
118	0.4588195753
119	0.4580080738
120	0.4573262635
121	0.4567045001
122	0.4558734053
123	0.4552007791
124	0.4543949483
125	0.4536465083
126	0.4531037536
127	0.4525469881
128	0.45176286
129	0.4511174357
130	0.4504889821
131	0.4499319321
132	0.4491474889
133	0.4484979776
134	0.4478290467
135	0.4470787334
136	0.4463778189
137	0.4457509271
138	0.4450011168
139	0.4442813312
140	0.443756874
141	0.4431012781
142	0.4423547823
143	0.4417753282
144	0.4411896164
145	0.4404853734
146	0.4397799446
147	0.4391445583
148	0.438550404
149	0.437866356
150	0.4372149975
151	0.4366887083
152	0.4362195512
153	0.4355340674
154	0.4348124158
155	0.4341967138
156	0.433545614
157	0.4329191499
158	0.4323588732
159	0.4318548934
160	0.4312894202
